Date,Team,PTS,Opp,PTS_Opp,Weight
2024-02-04,Bàsquet Girona,79.0,Real Madrid,92.0,0.5
2024-02-06,Umana Reyer Venezia,90.0,Veolia Towers Hamburg,83.0,1.0
2024-02-07,Hapoel Tel Aviv,94.0,Beşiktaş Emlakjet,73.0,1.0
2024-02-07,Wolves Vilnius,85.0,London Lions,80.0,1.0
2024-02-07,Joventut,80.0,Prometey,94.0,1.0
2024-02-07,Cedevita Olimpija,66.0,Paris Basketball,119.0,1.0
2024-02-10,Bàsquet Girona,66.0,MoraBanc Andorra,93.0,0.5
2024-02-10,Unicaja,90.0,Monbus Obradoiro,78.0,0.5
2024-02-10,Dreamland Gran Canaria,58.0,Zunder Palencia,82.0,0.5
2024-02-10,Lenovo Tenerife,106.0,Casademont Zaragoza,100.0,0.5
2024-02-11,Valencia Basket,78.0,Surne Bilbao Basket,93.0,0.5
2024-02-11,Real Madrid,80.0,Río Breogán,73.0,0.5
2024-02-11,Barça,87.0,Baxi Manresa,77.0,0.5
2024-02-11,Covirán Granada,78.0,UCAM Murcia,91.0,0.5
2024-02-11,Joventut,81.0,Baskonia,78.0,0.5
2024-03-02,Surne Bilbao Basket,84.0,Unicaja,101.0,0.5
2024-03-02,Covirán Granada,83.0,Lenovo Tenerife,89.0,0.5
2024-03-02,Río Breogán,70.0,Joventut,78.0,0.5
2024-03-02,UCAM Murcia,88.0,Baxi Manresa,83.0,0.5
2024-03-03,Zunder Palencia,93.0,Valencia Basket,111.0,0.5
2024-03-03,Baskonia,80.0,Dreamland Gran Canaria,98.0,0.5
2024-03-03,Real Madrid,89.0,MoraBanc Andorra,70.0,0.5
2024-03-03,Casademont Zaragoza,68.0,Barça,109.0,0.5
2024-03-03,Monbus Obradoiro,77.0,Bàsquet Girona,78.0,0.5
2024-03-09,Unicaja,76.0,Río Breogán,65.0,0.5
2024-03-09,Casademont Zaragoza,85.0,Dreamland Gran Canaria,111.0,0.5
2024-03-09,Baxi Manresa,83.0,Joventut,81.0,0.5
2024-03-09,Bàsquet Girona,73.0,UCAM Murcia,81.0,0.5
2024-03-10,Surne Bilbao Basket,79.0,Covirán Granada,87.0,0.5
2024-03-10,Valencia Basket,97.0,Monbus Obradoiro,75.0,0.5
2024-03-10,MoraBanc Andorra,70.0,Zunder Palencia,77.0,0.5
2024-03-10,Lenovo Tenerife,78.0,Real Madrid,80.0,0.5
2024-03-10,Barça,96.0,Baskonia,103.0,0.5
2024-03-16,Covirán Granada,88.0,Baskonia,104.0,0.5
2024-03-16,Monbus Obradoiro,81.0,UCAM Murcia,94.0,0.5
2024-03-16,Dreamland Gran Canaria,71.0,Baxi Manresa,78.0,0.5
2024-03-16,Lenovo Tenerife,79.0,MoraBanc Andorra,66.0,0.5
2024-03-17,Río Breogán,88.0,Barça,85.0,0.5
2024-03-17,Valencia Basket,88.0,Bàsquet Girona,92.0,0.5
2024-03-17,Joventut,71.0,Surne Bilbao Basket,92.0,0.5
