Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Mar 23 2024,Río Breogán,72,,Monbus Obradoiro,83,,,
Sun Mar 24 2024,Baskonia,80,,Surne Bilbao Basket,82,,,
Sun Mar 24 2024,Dreamland Gran Canaria,92,,Lenovo Tenerife,93,,,
Sun Mar 24 2024,Barça,93,,Joventut,75,,,
Sun Mar 24 2024,Real Madrid,86,,Zunder Palencia,78,,,
Sun Mar 24 2024,UCAM Murcia,82,,Valencia Basket,83,,,
Sat Mar 30 2024,Surne Bilbao Basket,80,,Río Breogán,68,,,
Sat Mar 30 2024,Lenovo Tenerife,89,,Zunder Palencia,68,,,
Sat Mar 30 2024,Bàsquet Girona,80,,Unicaja,111,,,
Sat Mar 30 2024,Casademont Zaragoza,94,,Baskonia,102,,,
Sun Mar 31 2024,Joventut,83,,Covirán Granada,86,,,
Sun Mar 31 2024,Valencia Basket,71,,Dreamland Gran Canaria,79,,,
Sun Mar 31 2024,MoraBanc Andorra,86,,UCAM Murcia,99,,,
Sun Mar 31 2024,Barça,89,,Monbus Obradoiro,84,,,
Sun Mar 31 2024,Baxi Manresa,83,,Real Madrid,72,,,
Sat Apr 6 2024,Dreamland Gran Canaria,71,,Surne Bilbao Basket,81,,,
Sat Apr 6 2024,Zunder Palencia,65,,Río Breogán,73,,,
Sat Apr 6 2024,UCAM Murcia,82,,Joventut,75,,,
Sat Apr 6 2024,Monbus Obradoiro,79,,Casademont Zaragoza,98,,,
Sun Apr 7 2024,Covirán Granada,62,,MoraBanc Andorra,88,,,
Sun Apr 7 2024,Real Madrid,79,,Barça,85,,,
Sun Apr 7 2024,Bàsquet Girona,60,,Lenovo Tenerife,74,,,
Sun Apr 7 2024,Unicaja,88,,Baxi Manresa,77,,,
Sun Apr 7 2024,Baskonia,101,,Valencia Basket,111,,,
Sat Apr 13 2024,Surne Bilbao Basket,84,,Lenovo Tenerife,101,,,
Sat Apr 13 2024,Zunder Palencia,77,,UCAM Murcia,90,,,
Sat Apr 13 2024,Baxi Manresa,94,,Monbus Obradoiro,86,,,
Sat Apr 13 2024,Casademont Zaragoza,72,,Unicaja,83,,,
Sun Apr 14 2024,Barça,81,,Bàsquet Girona,75,,,
Sun Apr 14 2024,Valencia Basket,88,,Covirán Granada,81,,,
Sun Apr 14 2024,MoraBanc Andorra,92,,Dreamland Gran Canaria,97,,,
Sun Apr 14 2024,Joventut,92,,Real Madrid,95,,,
Sun Apr 14 2024,Río Breogán,74,,Baskonia,76,,,
Sat Apr 20 2024,UCAM Murcia,86,,Barça,97,,,
Sat Apr 20 2024,Dreamland Gran Canaria,77,,Río Breogán,70,,OT,
Sat Apr 20 2024,MoraBanc Andorra,97,,Baxi Manresa,90,,,
Sat Apr 20 2024,Covirán Granada,91,,Zunder Palencia,83,,,
Sun Apr 21 2024,Monbus Obradoiro,75,,Surne Bilbao Basket,72,,,
Sun Apr 21 2024,Bàsquet Girona,90,,Joventut,96,,,
Sun Apr 21 2024,Baskonia,91,,Unicaja,95,,,
Sun Apr 21 2024,Lenovo Tenerife,73,,Valencia Basket,98,,,
Sun Apr 21 2024,Real Madrid,79,,Casademont Zaragoza,70,,,
Sat Apr 27 2024,Surne Bilbao Basket,68,,Bàsquet Girona,81,,,
Sat Apr 27 2024,Río Breogán,85,,Covirán Granada,84,,,
Sat Apr 27 2024,Joventut,79,,Dreamland Gran Canaria,97,,,
Sat Apr 27 2024,Baskonia,101,,Zunder Palencia,94,,,
Sun Apr 28 2024,Barça,92,,MoraBanc Andorra,108,,,
Sun Apr 28 2024,Unicaja,,,Lenovo Tenerife,,,,Postponed
Sun Apr 28 2024,Valencia Basket,96,,Baxi Manresa,98,,,
Sun Apr 28 2024,Casademont Zaragoza,,,UCAM Murcia,,,,Postponed
Sun Apr 28 2024,Monbus Obradoiro,69,,Real Madrid,79,,,
Wed May 1 2024,Unicaja,86,,Lenovo Tenerife,87,,,
Wed May 1 2024,Casademont Zaragoza,77,,UCAM Murcia,82,,,
Sat May 4 2024,Zunder Palencia,97,,Surne Bilbao Basket,80,,,
Sat May 4 2024,MoraBanc Andorra,89,,Monbus Obradoiro,101,,,
Sat May 4 2024,Joventut,76,,Valencia Basket,83,,,
Sun May 5 2024,UCAM Murcia,71,,Unicaja,96,,,
Sun May 5 2024,Baxi Manresa,80,,Casademont Zaragoza,90,,,
Sun May 5 2024,Dreamland Gran Canaria,89,,Barça,95,,OT,
Sun May 5 2024,Lenovo Tenerife,54,,Río Breogán,76,,,
Sun May 5 2024,Covirán Granada,80,,Real Madrid,94,,,
Sun May 5 2024,Bàsquet Girona,96,,Baskonia,92,,,
Thu May 9 2024,Lenovo Tenerife,88,,Joventut,96,,,
Thu May 9 2024,Surne Bilbao Basket,81,,Baxi Manresa,90,,,
Thu May 9 2024,Monbus Obradoiro,81,,Zunder Palencia,75,,,
Fri May 10 2024,Unicaja,92,,Barça,91,,,
Fri May 10 2024,MoraBanc Andorra,92,,Río Breogán,97,,,
Fri May 10 2024,Bàsquet Girona,86,,Dreamland Gran Canaria,78,,,
