Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Apr 21 2024,Dolomiti Energia Trento,103,,GeVi Napoli Basket,93,,,
Sun Apr 21 2024,Happy Casa Brindisi,96,,Estra Pistoia,90,,,
Sun Apr 21 2024,Openjobmetis Varese,112,,Banco di Sardegna Sassari,88,,,
Sun Apr 21 2024,NutriBullet Treviso Basket,78,,Umana Reyer Venezia,91,,,
Mon Apr 22 2024,UNAHOTELS Reggio Emilia,73,,Virtus Segafredo Bologna,83,,,
Sun Apr 28 2024,Umana Reyer Venezia,80,,Happy Casa Brindisi,84,,,
Sun Apr 28 2024,Germani Basket Brescia,77,,EA7 Emporio Armani Milano,83,,,
Sun Apr 28 2024,Vanoli Basket Cremona,86,,Carpegna Prosciutto Pesaro,91,,,
Sun Apr 28 2024,GeVi Napoli Basket,74,,UNAHOTELS Reggio Emilia,88,,,
Sun Apr 28 2024,Banco di Sardegna Sassari,99,,Givova Scafati,74,,,
Sun Apr 28 2024,Virtus Segafredo Bologna,84,,Bertram Derthona Tortona,77,,,
Sun Apr 28 2024,Estra Pistoia,105,,Dolomiti Energia Trento,80,,,
Sun Apr 28 2024,NutriBullet Treviso Basket,100,,Openjobmetis Varese,95,,,
Sun May 5 2024,Happy Casa Brindisi,75,,Germani Basket Brescia,94,,,
Sun May 5 2024,EA7 Emporio Armani Milano,73,,Vanoli Basket Cremona,72,,,
Sun May 5 2024,Givova Scafati,92,,GeVi Napoli Basket,102,,,
Sun May 5 2024,Openjobmetis Varese,96,,Estra Pistoia,78,,,
Sun May 5 2024,UNAHOTELS Reggio Emilia,63,,Banco di Sardegna Sassari,95,,,
Sun May 5 2024,Bertram Derthona Tortona,74,,NutriBullet Treviso Basket,87,,,
Sun May 5 2024,Carpegna Prosciutto Pesaro,79,,Umana Reyer Venezia,91,,,
Sun May 5 2024,Dolomiti Energia Trento,61,,Virtus Segafredo Bologna,108,,,
